time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,thrust,normalized_tau_x,normalized_tau_y,normalized_tau_z,normalized_thrust,throttle1,throttle2,throttle3,throttle4
1.4000000000000001,0.0,0.0,-3.0074773376517694,0.0,0.0,-4.9930782009196095,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.41,0.0,0.0,-3.0582910196609654,0.0,0.0,-5.081368200919609,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.42,0.0,0.0,-3.1099876016701615,0.0,0.0,-5.169658200919609,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.43,0.0,0.0,-3.162567083679358,0.0,0.0,-5.257948200919609,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.44,0.0,0.0,-3.2160294656885537,0.0,0.0,-5.3462382009196086,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.45,0.0,0.0,-3.27037474769775,0.0,0.0,-5.434528200919608,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.46,0.0,0.0,-3.325602929706946,0.0,0.0,-5.522818200919608,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.47,0.0,0.0,-3.381714011716142,0.0,0.0,-5.611108200919608,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.48,0.0,0.0,-3.438707993725338,0.0,0.0,-5.699398200919608,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.49,0.0,0.0,-3.496584875734534,0.0,0.0,-5.787688200919607,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.5,0.0,0.0,-3.5553446577437304,0.0,0.0,-5.875978200919607,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.51,0.0,0.0,-3.6149873397529264,0.0,0.0,-5.964268200919607,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.52,0.0,0.0,-3.6755129217621225,0.0,0.0,-6.052558200919607,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.53,0.0,0.0,-3.7369214037713188,0.0,0.0,-6.140848200919606,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.54,0.0,0.0,-3.7992127857805147,0.0,0.0,-6.229138200919606,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.55,0.0,0.0,-3.8623870677897107,0.0,0.0,-6.317428200919606,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.56,0.0,0.0,-3.926444249798907,0.0,0.0,-6.405718200919606,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.57,0.0,0.0,-3.991384331808103,0.0,0.0,-6.494008200919605,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.58,0.0,0.0,-4.057207313817299,0.0,0.0,-6.582298200919605,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.59,0.0,0.0,-4.123913195826495,0.0,0.0,-6.670588200919605,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.6,0.0,0.0,-4.191501977835691,0.0,0.0,-6.758878200919605,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.61,0.0,0.0,-4.259973659844888,0.0,0.0,-6.847168200919604,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.62,0.0,0.0,-4.329328241854084,0.0,0.0,-6.935458200919604,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.6300000000000001,0.0,0.0,-4.3995657238632795,0.0,0.0,-7.023748200919604,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.6400000000000001,0.0,0.0,-4.470686105872476,0.0,0.0,-7.112038200919604,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.6500000000000001,0.0,0.0,-4.542689387881672,0.0,0.0,-7.2003282009196035,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.6600000000000001,0.0,0.0,-4.615575569890868,0.0,0.0,-7.288618200919603,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.67,0.0,0.0,-4.689344651900064,0.0,0.0,-7.376908200919603,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.68,0.0,0.0,-4.76399663390926,0.0,0.0,-7.465198200919603,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.69,0.0,0.0,-4.8395315159184555,0.0,0.0,-7.5534882009196025,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.7,0.0,0.0,-4.915949297927652,0.0,0.0,-7.641778200919602,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.71,0.0,0.0,-4.993249979936848,0.0,0.0,-7.730068200919602,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.72,0.0,0.0,-5.071433561946043,0.0,0.0,-7.818358200919602,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.73,0.0,0.0,-5.1505000439552395,0.0,0.0,-7.9066482009196015,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.74,0.0,0.0,-5.230449425964435,0.0,0.0,-7.994938200919601,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.75,0.0,0.0,-5.311281707973631,0.0,0.0,-8.083228200919601,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.76,0.0,0.0,-5.392996889982827,0.0,0.0,-8.171518200919602,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.77,0.0,0.0,-5.475594971992023,0.0,0.0,-8.259808200919602,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.78,0.0,0.0,-5.559075954001219,0.0,0.0,-8.348098200919603,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.79,0.0,0.0,-5.643439836010415,0.0,0.0,-8.436388200919604,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.8,0.0,0.0,-5.728686618019611,0.0,0.0,-8.524678200919604,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.81,0.0,0.0,-5.814816300028808,0.0,0.0,-8.612968200919605,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.82,0.0,0.0,-5.901828882038004,0.0,0.0,-8.701258200919606,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.83,0.0,0.0,-5.989724364047199,0.0,0.0,-8.789548200919606,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.84,0.0,0.0,-6.078502746056396,0.0,0.0,-8.877838200919607,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.85,0.0,0.0,-6.168164028065592,0.0,0.0,-8.966128200919607,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.86,0.0,0.0,-6.258708210074787,0.0,0.0,-9.054418200919608,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.87,0.0,0.0,-6.3501352920839835,0.0,0.0,-9.142708200919609,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.8800000000000001,0.0,0.0,-6.4424452740931795,0.0,0.0,-9.23099820091961,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.8900000000000001,0.0,0.0,-6.535638156102376,0.0,0.0,-9.31928820091961,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.9000000000000001,0.0,0.0,-6.629713938111572,0.0,0.0,-9.40757820091961,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.9100000000000001,0.0,0.0,-6.724672620120768,0.0,0.0,-9.495868200919611,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.92,0.0,0.0,-6.8205142021299645,0.0,0.0,-9.584158200919612,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.93,0.0,0.0,-6.917238684139161,0.0,0.0,-9.672448200919613,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.94,0.0,0.0,-7.0148460661483565,0.0,0.0,-9.760738200919613,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.95,0.0,0.0,-7.113336348157553,0.0,0.0,-9.849028200919614,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.96,0.0,0.0,-7.212709530166749,0.0,0.0,-9.937318200919615,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.97,0.0,0.0,-7.312965612175945,0.0,0.0,-10.025608200919615,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.98,0.0,0.0,-7.414104594185141,0.0,0.0,-10.113898200919616,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.99,0.0,0.0,-7.516126476194337,0.0,0.0,-10.202188200919617,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
2.0,0.0,0.0,-7.619031258203533,0.0,0.0,-10.290478200919617,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
2.0100000000000002,0.0,0.0,-7.722818940212729,0.0,0.0,-10.378768200919618,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
2.02,0.0,0.0,-7.827489522221925,0.0,0.0,-10.467058200919618,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
2.0300000000000002,0.0,0.0,-7.933043004231122,0.0,0.0,-10.55534820091962,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
2.04,0.0,0.0,-8.039479386240318,0.0,0.0,-10.64363820091962,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
2.05,0.0,0.0,-8.146798668249515,0.0,0.0,-10.73192820091962,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
